15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2020-12-20, 12, 13, 0, , gine001,  ) => {inserted_id = 18518}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2020-12-21, 12, 13, 0, , gine001,  ) => {inserted_id = 18519}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2020-12-22, 12, 13, 0, , gine001,  ) => {inserted_id = 18520}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2020-12-23, 12, 13, 0, , gine001,  ) => {inserted_id = 18521}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2020-12-24, 12, 13, 0, , gine001,  ) => {inserted_id = 18522}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2020-12-25, 12, 13, 0, , gine001,  ) => {inserted_id = 18523}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2020-12-26, 12, 13, 0, , gine001,  ) => {inserted_id = 18524}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2020-12-27, 12, 13, 0, , gine001,  ) => {inserted_id = 18525}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2020-12-28, 12, 13, 0, , gine001,  ) => {inserted_id = 18526}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2020-12-29, 12, 13, 0, , gine001,  ) => {inserted_id = 18527}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2020-12-30, 12, 13, 0, , gine001,  ) => {inserted_id = 18528}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2020-12-31, 12, 13, 0, , gine001,  ) => {inserted_id = 18529}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2021-01-01, 12, 13, 0, , gine001,  ) => {inserted_id = 18530}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2021-01-02, 12, 13, 0, , gine001,  ) => {inserted_id = 18531}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2021-01-03, 12, 13, 0, , gine001,  ) => {inserted_id = 18532}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2021-01-04, 12, 13, 0, , gine001,  ) => {inserted_id = 18533}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2021-01-05, 12, 13, 0, , gine001,  ) => {inserted_id = 18534}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2021-01-06, 12, 13, 0, , gine001,  ) => {inserted_id = 18535}
